graph_num,val_roc,val_ap,test_roc,test_ap
261,0.78,0.671,0.5988,0.5154
260,0.5983,0.6351,0.6735,0.5932
259,0.6039,0.6368,0.6659,0.5881
258,0.6039,0.6368,0.6659,0.5881
257,0.8096,0.7735,0.6986,0.6063
256,0.6694,0.6175,0.7342,0.6689
255,0.6694,0.6175,0.7342,0.6689
254,0.6039,0.6368,0.6659,0.5881
253,0.7258,0.6689,0.7729,0.7403
252,0.6039,0.6368,0.6659,0.5881
251,0.6867,0.589,0.6692,0.6322
250,0.6867,0.589,0.6692,0.6322
249,0.6662,0.6266,0.6884,0.7441
248,0.6039,0.6368,0.6659,0.5881
247,0.6039,0.6368,0.6659,0.5881
246,0.6039,0.6368,0.6659,0.5881
245,0.6039,0.6368,0.6659,0.5881
244,0.8127,0.7547,0.6913,0.6172
243,0.7117,0.7111,0.652,0.572
242,0.6385,0.6037,0.7268,0.6212
241,0.6039,0.6368,0.6659,0.5881
240,0.6694,0.6175,0.7327,0.6683
239,0.8338,0.8499,0.7061,0.6425
238,0.6867,0.589,0.6692,0.6322
237,0.6039,0.6368,0.6659,0.5881
236,0.6694,0.6175,0.7327,0.6683
235,0.6039,0.6368,0.6659,0.5881
234,0.6694,0.6175,0.7342,0.6689
233,0.6867,0.589,0.6692,0.6322
232,0.6867,0.589,0.6692,0.6322
231,0.78,0.671,0.5988,0.5154
230,0.78,0.671,0.5988,0.5154
229,0.6694,0.6175,0.7327,0.6683
228,0.7341,0.7073,0.6693,0.6028
227,0.6039,0.6368,0.6659,0.5881
226,0.6039,0.6368,0.6659,0.5881
225,0.6694,0.6175,0.7342,0.6689
224,0.6039,0.6368,0.6659,0.5881
223,0.6867,0.589,0.6692,0.6322
222,0.6039,0.6368,0.6659,0.5881
221,0.6039,0.6368,0.6659,0.5881
220,0.6039,0.6368,0.6659,0.5881
219,0.6039,0.6368,0.6659,0.5881
218,0.5983,0.6351,0.6735,0.5932
217,0.6025,0.5671,0.6392,0.5772
216,0.686,0.5872,0.6706,0.6311
215,0.6748,0.6194,0.7328,0.6684
214,0.907,0.8631,0.6743,0.5855
213,0.5983,0.6351,0.6735,0.5932
212,0.712,0.6339,0.5784,0.5679
211,0.6694,0.6175,0.7342,0.6689
210,0.6748,0.6194,0.7328,0.6684
209,0.6039,0.6368,0.6659,0.5881
208,0.6039,0.6368,0.6659,0.5881
207,0.6039,0.6368,0.6659,0.5881
206,0.6039,0.6368,0.6659,0.5881
205,0.6752,0.632,0.7339,0.6638
204,0.6867,0.589,0.6692,0.6322
203,0.5983,0.6351,0.6735,0.5932
202,0.662,0.6303,0.7315,0.6697
201,0.5983,0.6351,0.6735,0.5932
200,0.6725,0.617,0.7243,0.6577
199,0.5983,0.6351,0.6735,0.5932
198,0.5983,0.6351,0.6735,0.5932
197,0.5983,0.6351,0.6735,0.5932
196,0.6539,0.5914,0.6421,0.5813
195,0.6566,0.5939,0.6432,0.5832
194,0.6566,0.5939,0.6432,0.5832
193,0.6566,0.5939,0.6432,0.5832
192,0.6539,0.5914,0.6421,0.5813
191,0.6539,0.5914,0.6421,0.5813
190,0.6539,0.5914,0.6421,0.5813
189,0.6539,0.5914,0.6421,0.5813
188,0.6539,0.5914,0.6421,0.5813
187,0.6539,0.5914,0.6421,0.5813
186,0.6791,0.6054,0.7466,0.6527
185,0.6539,0.5914,0.6421,0.5813
184,0.6539,0.5914,0.6421,0.5813
183,0.6539,0.5914,0.6421,0.5813
182,0.6539,0.5914,0.6421,0.5813
181,0.6539,0.5914,0.6421,0.5813
180,0.6539,0.5914,0.6421,0.5813
179,0.6539,0.5914,0.6421,0.5813
178,0.6539,0.5914,0.6421,0.5813
177,0.6539,0.5914,0.6421,0.5813
176,0.6539,0.5914,0.6421,0.5813
175,0.6539,0.5914,0.6421,0.5813
174,0.6822,0.6437,0.705,0.6493
173,0.6539,0.5914,0.6421,0.5813
172,0.6539,0.5914,0.6421,0.5813
171,0.6539,0.5914,0.6421,0.5813
170,0.6566,0.5939,0.6432,0.5832
169,0.6539,0.5914,0.6421,0.5813
168,0.63,0.5923,0.7026,0.609
167,0.6539,0.5914,0.6421,0.5813
166,0.6539,0.5914,0.6421,0.5813
165,0.6566,0.5939,0.6432,0.5832
164,0.6539,0.5914,0.6421,0.5813
163,0.6539,0.5914,0.6421,0.5813
162,0.6539,0.5914,0.6421,0.5813
161,0.6539,0.5914,0.6421,0.5813
160,0.6566,0.5939,0.6432,0.5832
159,0.6539,0.5914,0.6421,0.5813
158,0.6566,0.5939,0.6432,0.5832
157,0.6566,0.5939,0.6432,0.5832
156,0.6539,0.5914,0.6421,0.5813
155,0.6539,0.5914,0.6421,0.5813
154,0.6539,0.5914,0.6421,0.5813
153,0.6539,0.5914,0.6421,0.5813
152,0.6539,0.5914,0.6421,0.5813
151,0.6539,0.5914,0.6421,0.5813
150,0.7304,0.6675,0.6997,0.651
149,0.6539,0.5914,0.6421,0.5813
148,0.6539,0.5914,0.6421,0.5813
145,0.75,0.8333,0.4,0.4968
143,1,1,0.125,0.3988
141,0.24,0.4157,0.45,0.4603
138,0.5432,0.57,0.5499,0.6192
137,0.5432,0.57,0.5499,0.6192
136,0.4688,0.5636,0.4879,0.5271
135,0.3905,0.4739,0.6908,0.6221
134,0.3905,0.4739,0.6908,0.6221
133,0.6195,0.5699,0.551,0.5367
132,0.5,0.5062,0.4306,0.4786
131,0.5,0.5062,0.4306,0.4786
130,0.5,0.5062,0.4306,0.4786
129,0.4605,0.4648,0.6014,0.5552
128,0.569,0.5799,0.5368,0.5262
127,0.679,0.6971,0.6454,0.6087
126,0.466,0.4665,0.4361,0.4492
125,0.466,0.4665,0.4361,0.4492
124,0.466,0.4665,0.4361,0.4492
123,0.466,0.4665,0.4361,0.4492
122,0.6368,0.5921,0.6758,0.62
121,0.5433,0.5238,0.5208,0.505
120,0.3438,0.4467,0.4473,0.5158
119,0.7167,0.6742,0.6801,0.6421
118,0.6283,0.5777,0.5822,0.5585
117,0.6276,0.5765,0.5905,0.563
116,0.6283,0.5777,0.5822,0.5585
115,0.6319,0.5885,0.5579,0.5171
114,0.6283,0.5777,0.5822,0.5585
113,0.6283,0.5777,0.5822,0.5585
112,0.5216,0.5041,0.5588,0.5313
111,0.6283,0.5777,0.5822,0.5585
110,0.6283,0.5777,0.5822,0.5585
109,0.6283,0.5777,0.5822,0.5585
108,0.5803,0.5445,0.5631,0.508
107,0.6276,0.5765,0.5905,0.563
106,0.6283,0.5777,0.5822,0.5585
105,0.5669,0.5685,0.6187,0.6222
104,0.6283,0.5777,0.5822,0.5585
103,0.6283,0.5777,0.5822,0.5585
102,0.6276,0.5765,0.5905,0.563
101,0.6276,0.5765,0.5905,0.563
100,0.76,0.6862,0.7,0.8251
