graph num,val_loss,val_roc,val_ap,test_loss,test_roc,test_ap
483,2.0184,0.5737,0.6799,2.0185,0.5035,0.5189
299,1.8437,0.5138,0.5352,1.8437,0.5032,0.5066
292,1.7708,0.4994,0.5016,1.7625,0.5031,0.5109
565,1.997,0.5368,0.5708,2.0014,0.5027,0.4978
562,1.997,0.5368,0.5708,2.0014,0.5027,0.4978
108,1.6657,0.518,0.5177,1.6703,0.5015,0.4973
295,1.7708,0.4977,0.4959,1.7625,0.5015,0.5034
361,2.0048,0.5052,0.5309,1.8742,0.5013,0.4884
474,2.0068,0.5311,0.5726,2.0056,0.5007,0.5119
371,1.9169,0.54,0.5624,1.9328,0.5006,0.5187
624,1.9824,0.5833,0.6063,2.0374,0.5004,0.4945
575,1.8163,0.5573,0.576,1.8009,0.5003,0.4909
407,1.9255,0.5141,0.5244,1.9257,0.5001,0.5042
408,1.9255,0.5141,0.5244,1.9257,0.5001,0.5042
626,2.088,0.63,0.6538,2.0881,0.5,0.4871
473,2.2879,0.4,0.4836,1.4628,0.5,0.5235
302,1.981,0.5248,0.5302,1.9808,0.4999,0.4963
561,2.0127,0.5315,0.5833,2.0139,0.4996,0.4922
722,1.9787,0.5039,0.5046,1.9783,0.4995,0.4929
723,1.9787,0.5039,0.5046,1.9783,0.4995,0.4929
293,1.9405,0.5169,0.5247,1.9262,0.4992,0.5007
418,1.9089,0.4876,0.4781,1.8935,0.499,0.5148
489,1.889,0.5,0.5497,1.8216,0.4985,0.4996
484,2.0184,0.5737,0.6799,2.0185,0.4983,0.5067
375,1.9464,0.5398,0.6019,1.9463,0.4982,0.4997
376,1.9464,0.5398,0.6019,1.9463,0.4982,0.4997
372,1.9464,0.5398,0.6019,1.9463,0.4982,0.4997
425,2.2534,0.5877,0.5801,2.2534,0.496,0.5065
53,1.9769,0.5586,0.5576,2.0256,0.4958,0.504
421,1.936,0.5118,0.537,1.9349,0.4958,0.4977
70,1.9444,0.5232,0.5184,1.9362,0.4954,0.4825
367,2.0186,0.4915,0.5031,2.0178,0.4954,0.4938
366,2.0186,0.4915,0.5031,2.0178,0.4954,0.4938
358,2.0186,0.4915,0.5031,2.0178,0.4954,0.4938
138,1.9245,0.4768,0.4949,1.9231,0.4953,0.4861
501,2.0183,0.4807,0.4787,2.0171,0.4952,0.4877
